id,university,program_name,degree_type,category,city,province,duration,tuition_cad,ielts_requirement,intake,application_deadline,description,program_url
1,University of Toronto,"Business, Commerce & Management",Master,Health,Toronto,Ontario,4 years,54848,6.5,September,February,"Business, Commerce & Management at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://future.utoronto.ca/business-commerce-management
2,University of Toronto,Data & Computer Science,Master,Business,Toronto,Ontario,4 years,40778,6.5,September,January,Data & Computer Science at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/data-computer-science
3,University of Toronto,Engineering,Master,Engineering,Toronto,Ontario,2 years,57258,6.5,September,February,Engineering at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/engineering
4,University of Toronto,Health & Life Sciences,Bachelor,Engineering,Toronto,Ontario,4 years,22012,6.5,September,February,Health & Life Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/health-life-sciences
5,University of Toronto,Mathematics & Physical Sciences,Bachelor,Arts,Toronto,Ontario,2 years,38108,6.5,September,February,Mathematics & Physical Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/mathematics-physical-sciences
6,University of Toronto,Music & the Performing Arts,Master,IT,Toronto,Ontario,2 years,28977,6.5,September,January,Music & the Performing Arts at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/music-performing-arts
7,University of Toronto,Social Sciences,Master,IT,Toronto,Ontario,4 years,52445,6.5,September,March,Social Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/social-sciences
8,University of Toronto,Arts & Science Colleges,Bachelor,Health,Toronto,Ontario,2 years,34335,6.5,September,January,Arts & Science Colleges at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/arts-and-science-colleges
9,University of British Columbia,Plan your finances,Bachelor,Arts,Vancouver,British Columbia,2 years,45630,6.5,September,February,Plan your finances at University of British Columbia provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://you.ubc.ca/applying-ubc/admitted/your-finances/
10,University of British Columbia,Take care of your health and wellness,Bachelor,Engineering,Vancouver,British Columbia,4 years,62027,6.5,September,January,Take care of your health and wellness at University of British Columbia provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://you.ubc.ca/applying-ubc/admitted/health-wellness/
11,University of British Columbia,Arts and culture,Master,Health,Vancouver,British Columbia,2 years,54663,6.5,September,February,Arts and culture at University of British Columbia provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://you.ubc.ca/ubc-life/arts-and-culture/
12,York University,Actuarial Science,Master,IT,Toronto,Ontario,2 years,53799,6.5,September,January,Actuarial Science at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/actuarial-science
13,York University,Biomedical Science,Bachelor,Arts,Toronto,Ontario,4 years,39635,6.5,September,January,Biomedical Science at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/biomedical-science
14,York University,Biotechnology,Master,Engineering,Toronto,Ontario,2 years,50327,6.5,September,February,Biotechnology at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/biotechnology
15,York University,Business & Society,Master,IT,Toronto,Ontario,2 years,23854,6.5,September,January,Business & Society at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/business-society
16,York University,Business Administration,Bachelor,Business,Toronto,Ontario,2 years,49412,6.5,September,January,Business Administration at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/business-administration
17,York University,Business Economics,Bachelor,Business,Toronto,Ontario,4 years,61507,6.5,September,March,Business Economics at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/business-economics/laps
18,York University,Business Economics / Économie et commerce,Master,Health,Toronto,Ontario,2 years,59249,6.5,September,March,Business Economics / Économie et commerce at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/business-economics/glendon
19,York University,Canadian Business for Internationally Educated Professionals,Master,Health,Toronto,Ontario,4 years,45577,6.5,September,February,Canadian Business for Internationally Educated Professionals at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/certificates/canadian-business-for-internationally-educated-professionals
20,York University,Cinema & Media Arts,Bachelor,Arts,Toronto,Ontario,2 years,38584,6.5,September,January,Cinema & Media Arts at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/cinema-media-arts
21,York University,Cinema & Media Arts - Media Arts,Bachelor,Health,Toronto,Ontario,2 years,36356,6.5,September,February,Cinema & Media Arts - Media Arts at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/media-arts
22,York University,Cinema & Media Arts - Screenwriting,Master,Health,Toronto,Ontario,4 years,20649,6.5,September,March,Cinema & Media Arts - Screenwriting at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/screenwriting
23,Simon Fraser University,Faculty of Applied Sciences,Master,Engineering,Burnaby,British Columbia,2 years,26787,6.5,September,March,Faculty of Applied Sciences at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/applied-sciences/majors.html
24,Simon Fraser University,Faculty of Arts and Social Sciences,Bachelor,Business,Burnaby,British Columbia,4 years,42842,6.5,September,January,Faculty of Arts and Social Sciences at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/arts-social-sciences/majors.html
