id,university,program_name,degree_type,category,city,province,duration,tuition_cad,ielts_requirement,intake,application_deadline,description,program_url
1,University of Toronto,"Business, Commerce & Management",Bachelor,Health,Toronto,Ontario,4 years,58150,6.5,September,March,"Business, Commerce & Management at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/business-commerce-management
2,University of Toronto,Data & Computer Science,Master,Health,Toronto,Ontario,2 years,36261,6.5,September,March,"Data & Computer Science at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/data-computer-science
3,University of Toronto,Engineering,Master,IT,Toronto,Ontario,2 years,62773,6.5,September,January,"Engineering at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/engineering
4,University of Toronto,Health & Life Sciences,Bachelor,Engineering,Toronto,Ontario,2 years,29628,6.5,September,February,"Health & Life Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/health-life-sciences
5,University of Toronto,Mathematics & Physical Sciences,Bachelor,Engineering,Toronto,Ontario,4 years,56117,6.5,September,March,"Mathematics & Physical Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/mathematics-physical-sciences
6,University of Toronto,Music & the Performing Arts,Bachelor,Health,Toronto,Ontario,2 years,40334,6.5,September,January,"Music & the Performing Arts at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/music-performing-arts
7,University of Toronto,Social Sciences,Bachelor,IT,Toronto,Ontario,2 years,26585,6.5,September,January,"Social Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/social-sciences
8,University of Toronto,Arts & Science Colleges,Bachelor,IT,Toronto,Ontario,4 years,64241,6.5,September,January,"Arts & Science Colleges at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/arts-and-science-colleges
9,University of Toronto,"Business, Commerce & Management",Master,IT,Toronto,Ontario,4 years,23034,6.5,September,March,"Business, Commerce & Management at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/business-commerce-management
10,University of Toronto,Data & Computer Science,Master,Business,Toronto,Ontario,4 years,57526,6.5,September,January,"Data & Computer Science at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/data-computer-science
11,University of Toronto,Engineering,Bachelor,Engineering,Toronto,Ontario,2 years,59812,6.5,September,January,"Engineering at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/engineering
12,University of Toronto,Health & Life Sciences,Bachelor,Engineering,Toronto,Ontario,2 years,20985,6.5,September,January,"Health & Life Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/health-life-sciences
13,University of Toronto,Mathematics & Physical Sciences,Master,Arts,Toronto,Ontario,2 years,48706,6.5,September,January,"Mathematics & Physical Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/mathematics-physical-sciences
14,University of Toronto,Music & the Performing Arts,Bachelor,Engineering,Toronto,Ontario,4 years,35503,6.5,September,February,"Music & the Performing Arts at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/music-performing-arts
15,University of Toronto,Social Sciences,Bachelor,IT,Toronto,Ontario,2 years,60157,6.5,September,March,"Social Sciences at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/social-sciences
16,University of Toronto,Arts & Science Colleges,Bachelor,Health,Toronto,Ontario,4 years,50215,6.5,September,March,"Arts & Science Colleges at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://future.utoronto.ca/programs/arts-and-science-colleges
17,University of British Columbia,Plan your finances,Master,IT,Vancouver,British Columbia,4 years,54793,6.5,September,March,"Plan your finances at University of British Columbia provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is designed with industry relevance. Graduates develop analytical, technical, and problem-solving skills. Career opportunities span global industries. The program emphasizes innovation, research, and professional growth.",https://you.ubc.ca/applying-ubc/admitted/your-finances/
